id;start_date;end_date;language
1;2021-02-08T08:55:06;2021-02-08T06:45:21;SPANISH
2;2021-02-07T13:45:17;2021-02-08T08:49:42;SPANISH
3;2021-02-08T04:40:36;2021-02-07T15:14:45;FRENCH
4;2021-02-07T19:58:07;2021-02-08T07:29:33;FRENCH
5;2021-02-08T05:28:25;2021-02-08T10:15:24;FRENCH
6;2021-02-07T23:20:46;2021-02-08T11:29:00;FRENCH
7;2021-02-08T01:06:06;2021-02-07T18:56:57;FRENCH
8;2021-02-08T00:02:19;2021-02-08T10:18:27;SPANISH
9;2021-02-07T22:43:28;2021-02-07T19:24:51;SPANISH
10;2021-02-08T06:55:32;2021-02-07T17:30:02;SPANISH
